Latitude,Longitude,Title
42.3188,-71.0846,Maintenance Contractors of New England
41.6206,-88.2252,Plainfield Community Consolidated Schools District
42.4779,-70.9663,General Electric Corporation
45.7891,-108.5524,Billings Board of Education
21.3294,-157.846,Kuakini Medical Center; Queen's Medical Center; St. Francis Medical Center
38.1663,-85.6485,General Electric Corp.
40.0077,-75.1339,General Electric Corp.
40.6943,-73.9249,General Electric Corp.
41.4767,-81.6804,General Electric Corp.
33.6772,-117.7738,General Electric Corp.
41.7661,-72.6834,General Electric Corp.
41.3112,-72.9246,Yale University
40.6943,-73.9249,League of American Theaters and Producers
32.7811,-97.3473,Lockheed Martin Aeronautics Company
28.9454,-95.3601,Dow Chemical Company
47.6211,-122.3244,Associated General Contractors of Washington
37.9765,-121.3109,San Joaquin County
21.3294,-157.846,Oahu Transit Services Inc.
41.3112,-72.9246,Yale University
41.8373,-87.6862,Chicago Area Refuse Haulers Association
38.6358,-90.2451,"Dierbergs, Schnucks, and Shop 'N Save Markets"
32.8312,-117.1225,"Albertsons, Ralphs, and Vons Markets"
37.9844,-81.1277,Kroger Company
39.1413,-84.5061,Kroger Company
38.0017,-84.1907,Kroger Company
34.1139,-118.4068,Los Angeles County Metropolitan Transportation Authority
42.6645,-83.1563,"American Axle and Manufacturing, Inc."
40.7498,-73.7976,"American Axle and Manufacturing, Inc."
44.9635,-93.2678,Metropolitan Council/Metro Transit
38.9047,-77.0163,SBC Communications Inc.
38.8602,-86.4895,Visteon Corporation
40.6943,-73.9249,Home Health Care Agencies
40.6943,-73.9249,City of New York
41.6964,-93.0402,Maytag Corporation
38.6358,-90.2451,Automotive Dealers Association
47.6211,-122.3244,Group Health Cooperative of Puget Sound
36.2333,-115.2654,Las Vegas Convention Center Service Providers
37.7562,-122.443,San Francisco Multi-Employer Group
39.3797,-74.4527,Hotel/Casino Employers
39.6719,-80.8741,Ormet
40.1407,-75.1925,Turnpike Workers
37.7562,-122.443,Sutter Healthcare Hospitals
40.7245,-74.1725,New Jersey Central Power and Light
38.6358,-90.2451,St. John's Mercy Medical Center
33.9533,-84.5422,Lockheed Martin Corporation
33.4361,-93.996,Cooper Tire and Rubber Company
40.6943,-73.9249,Elevator Manufacturers Association of New York - Kane Inc.; Otis Elevator Co.; Schindler Elevator Corp.
41.8373,-87.6862,Plumbing and Mechanical Contractors Association
37.7903,-122.2165,University of California
37.7903,-122.2165,University of California
37.7903,-122.2165,University of California
40.0077,-75.1339,Mechanical Contractors Association
41.4767,-81.6804,Construction Employers Association
42.2039,-71.0022,NSTAR
41.7661,-72.6834,Coca-Cola Bottlers
33.2247,-117.3083,Coca-Cola Bottlers
40.6943,-73.9249,Moving and Storage Companies
40.4396,-79.9762,Mechanical Contractors Association
42.5806,-84.4427,Mid-Michigan Mechanical Contractors Association
34.1139,-118.4068,Los Angeles Hotel Employer's Council
32.1545,-110.8782,"Asarco, Inc."
40.6943,-73.9249,"Allied Building Metals Industries, Inc."
44.8169,-93.1638,Northwest Airlines Corporation
45.5023,-122.4413,Boeing Company
37.6896,-97.3442,Boeing Company
40.0077,-75.1339,Southeastern Pennsylvania Transit Authority
33.696,-118.0025,Boeing Company
28.3933,-80.605,Boeing Company
34.6988,-86.6412,Boeing Company
40.6943,-73.9249,New York City Metropolitan Transit Authority
